CLAVE,LONGITUD,LATITUD,ORGANISMO_DE_CUENCA,SUBTIPO,GRUPO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_FIS_SUP_15_UT,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_COLI_FEC,CALIDAD_E_COLI,CALIDAD_ENTEROC,CALIDAD_OD_PORC,CALIDAD_OD_PORC_SUP,CALIDAD_OD_PORC_MED,CALIDAD_OD_PORC_FON,CALIDAD_TOX_D_48,CALIDAD_TOX_V_15,CALIDAD TOX_D_48_SUP,CALIDAD_TOX_FIS_SUP_15,SEMAFORO
DLAGU37M1,-102.36757,21.74109,6.0,24.0,2.0,1.1670115479607504,1.1259090988519405,1.0229296928907337,1.0089989223878688,1.0089989223878688,1.0,2.1864014801110083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,2,5,5,0,3,0,0,0,1,1,0,0,3
DLAGU38M1,-102.36137,21.76688,6.0,24.0,2.0,1.2090648154328818,1.2006115994198543,1.0214965870850627,1.0057758686043154,1.0036456402121159,1.0,4.717391304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,2,5,5,0,1,0,0,0,1,1,0,0,3
DLAGU40,-102.77811,21.82335,6.0,22.0,1.0,1.0,1.0462054624565327,1.0,1.004164527693715,1.0024122130515547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3,1,5,5,0,0,0,0,0,0,0,1,1,2
DLAGU46,-102.67545,21.99809,6.0,22.0,1.0,1.0,1.0529994582976567,1.0,1.000026818485608,1.0,1.0,1.0,3.473307058402006,1.0,1.0,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,1,0,0,0,0,1,1,1
DLAGU47,-102.65304,21.85799,6.0,22.0,1.0,1.0,1.1366033515648208,1.003964926062356,1.0011099728557993,1.0000941436713926,1.0,1.0,4.018273020422787,1.0,1.0,1.0,1.0,1.0,1.0,1,4,1,4,2,0,0,1,0,0,0,0,1,1,3
DLAGU51M1,-102.4286,21.91633,6.0,22.0,1.0,1.0,1.0595418246631834,1.0005732423222684,1.0001398950407379,1.000002640932702,1.0,1.0,3.927982801863131,6.154346060113729,3.6649522409992654,1.0,1.0,1.0,1.0,1,3,1,3,1,0,0,1,1,2,0,0,1,1,1
DLMIC1543W1,-102.32441,17.9775,1.0,15.0,0.0,1.0,1.0,1.0091718771562934,1.0,1.0,7.445428655277745,1.0,1.5256180580437118,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,5,0,4,0,0,0,0,0,1,3
DLMIC1544W1,-102.3279,17.98442,1.0,15.0,0.0,1.0,1.0622153878414036,1.0,1.0089989223878688,1.0089989223878688,1.0,1.0,1.519168756718022,1.0,1.0,1.0,1.0,1.0,1.0,1,3,1,5,5,0,0,4,0,0,0,0,1,1,2
DLMIC1545,-102.37526,17.98857,1.0,12.0,0.0,1.0180228289166278,1.053408356195502,1.0,1.0025531867831146,1.0001417548525,1.0,3.7724329324699353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,1,4,2,0,1,0,0,0,1,1,0,0,2
DLMIC1546W1,-102.37853,17.98233,1.0,12.0,0.0,1.0,1.0,1.0008598634834025,1.0,1.0,1.0223576143611195,1.0,3.637764242207094,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
